,mmsi,FID,source_id,imo,vessel_name,callsign,vessel_type,vessel_type_code,vessel_type_cargo,vessel_class,length,width,flag_country,flag_code,destination,eta,draught,position,longitude,latitude,sog,cog,rot,heading,nav_status,nav_status_code,source,ts_pos_utc,ts_static_utc,dt_pos_utc,dt_static_utc,vessel_type_main,vessel_type_sub,message_type,eeid,dtg,geometry,index_right,PORT_NAME,COUNTRY,enter_time,exit_time,port_status,duration,next_port
0,431000776,d5c55367827b74aa7a2786764134f56b,114,8742680.0,MAYA,JD2830,Cargo,70,,A,90,14,Japan,431.0,JP UBJ,10190730,4.0,POINT (132.24217833333333 34.222695),132.2422,34.2227,0.0,198.2,0.0,149,Moored,5,T-AIS,20211019000142,20211019000142,2021-10-19 00:01:42,2021-10-19 00:01:42,Container Ship,,3,,2021-10-19T00:01:42,POINT (132.2422 34.2227),95.0,IWAKUNI,JP,2021-10-19 00:01:42,2021-10-19 00:50:28,,0 days 00:48:46,None
0,431000782,3733524daa317b21cc909021d5d8ed05,114,,KANEY0SI MARU NO.8,JL6522,Cargo,70,,A,62,13,Japan,431.0,>JP MYU,9181430,2.0,POINT (132.99343666666667 34.25006666666667),132.9934,34.2501,0.0,251.0,0.0,7,Moored,5,T-AIS,20211019000034,20211019000034,2021-10-19 00:00:34,2021-10-19 00:00:34,Bulk Carrier,Aggregates Carrier,1,,2021-10-19T00:00:34,POINT (132.9934 34.2501),173.0,MIYAURA,JP,2021-10-19 00:00:34,Docked,,Docked,None
0,431000788,a98e92ccdfbd75fd36759e7351123278,114,,SEISHIN MARU NO.1,JD2840,Cargo,70,,B,74,12,Japan,431.0,,2460,0.0,POINT (139.97044 35.68030666666667),139.9704,35.6803,0.0,311.5,0.0,0,Unknown,16,T-AIS,20211019000211,20211019000211,2021-10-19 00:02:11,2021-10-19 00:02:11,,,18,,2021-10-19T00:02:11,POINT (139.9704 35.6803),151.0,KATSUNAN,JP,2021-10-19 00:02:11,Docked,,Docked,None
0,431000798,a4b92ce66580bdc6b4149708274deab2,114,,KOJIN MARU NO.11,JK5385,Cargo,70,,A,54,13,Japan,431.0,JP HIJ KAITA,10191100,2.8,POINT (132.55103333333332 34.19115),132.551,34.1912,7.8,274.0,0.0,273,Under Way Using Engine,0,T-AIS,20211019000001,20211019000001,2021-10-19 00:00:01,2021-10-19 00:00:01,Bulk Carrier,Aggregates Carrier,1,,2021-10-19T00:00:01,POINT (132.551 34.1912),129.0,MITSUKOJIMA,JP,2021-10-19 00:00:01,2021-10-19 00:11:53,,0 days 00:11:52,HIROSHIMA
1,431000798,e43804ac28dffd33efd40129ba219784,114,,KOJIN MARU NO.11,JK5385,Cargo,70,,A,54,13,Japan,431.0,JP HIJ KAITA,10191100,2.8,POINT (132.53753333333333 34.193),132.5375,34.193,7.1,352.0,0.0,359,Under Way Using Engine,0,T-AIS,20211019000601,20211019000601,2021-10-19 00:06:01,2021-10-19 00:06:01,Bulk Carrier,Aggregates Carrier,1,,2021-10-19T00:06:01,POINT (132.5375 34.193),129.0,MITSUKOJIMA,JP,2021-10-19 00:06:01,2021-10-19 00:11:53,In,0 days 00:05:52,HIROSHIMA
2,431000798,ecf272ccbee5ece990a8f0a6076daf34,114,,KOJIN MARU NO.11,JK5385,Cargo,70,,A,54,13,Japan,431.0,JP HIJ KAITA,10191100,2.8,POINT (132.53395 34.21136666666666),132.534,34.2114,8.1,330.0,0.0,331,Under Way Using Engine,0,T-AIS,20211019001551,20211019001551,2021-10-19 00:15:51,2021-10-19 00:15:51,Bulk Carrier,Aggregates Carrier,1,,2021-10-19T00:15:51,POINT (132.534 34.2114),94.0,KURE,JP,2021-10-19 00:15:51,2021-10-19 00:38:30,In,0 days 00:22:39,HIROSHIMA
3,431000798,c23f412058d84b0ee3ff5fa95f9defaa,114,,KOJIN MARU NO.11,JK5385,Cargo,70,,A,54,13,Japan,431.0,JP HIJ KAITA,10191100,2.8,POINT (132.497 34.29116666666667),132.497,34.2912,8.2,339.0,0.0,338,Under Way Using Engine,0,T-AIS,20211019005333,20211019005333,2021-10-19 00:53:33,2021-10-19 00:53:33,Bulk Carrier,Aggregates Carrier,1,,2021-10-19T00:53:33,POINT (132.497 34.2912),7.0,HIROSHIMA,JP,2021-10-19 00:53:33,Docked,In,Docked,None
0,431000822,404c181f7d6b37a84f80b82d9cf91dff,114,9540314.0,JFE MERCURY,JD2719,Cargo,70,,A,152,30,Japan,431.0,>JP SBK 3,10181500,4.1,POINT (135.42610666666667 34.587855),135.4261,34.5879,0.0,138.0,0.0,172,Moored,5,T-AIS,20211019000133,20211019000133,2021-10-19 00:01:33,2021-10-19 00:01:33,Ro Ro Cargo Ship,,1,,2021-10-19T00:01:33,POINT (135.4261 34.5879),87.0,SAKAI-SENBOKU,JP,2021-10-19 00:01:33,Docked,,Docked,None
0,431000833,ab5944cc45e8fbaab3dfeea30321eb61,114,8740993.0,KAISEI MARU,JD2851,Cargo,70,,A,73,12,Japan,431.0,>JP AMX,10180800,4.5,POINT (135.40236666666667 34.69245),135.4024,34.6925,0.0,11.9,0.0,32,Under Way Using Engine,0,T-AIS,20211019000135,20211019000135,2021-10-19 00:01:35,2021-10-19 00:01:35,General Cargo Ship,,1,,2021-10-19T00:01:35,POINT (135.4024 34.6925),88.0,AMAGASAKI,JP,2021-10-19 00:01:35,Docked,,Docked,None
0,431000834,15f9391878774ca0916e49f69656b095,153,8743165.0,KAISEIMARU,JD2863,Cargo,70,,A,76,14,Japan,431.0,>JP TMI OFF,10190800,3.9,POINT (131.87333333333333 33.08),131.8733,33.08,0.0,352.0,0.0,0,At Anchor,1,S-AIS,20211019001458,20211019001458,2021-10-19 00:14:58,2021-10-19 00:14:58,Bulk Carrier,Cement Carrier,27,,2021-10-19T00:14:58,POINT (131.8733 33.08),13.0,TSUKUMI,JP,2021-10-19 00:14:58,Docked,,Docked,None
